,Risk_Category,Loan_Amount,Credit_Score,Loan_Purpose,Annual_Income,Employment_Length,Debt-to-Income_Ratio,Number_of_Open_Accounts,Number_of_Past_Due_Payments
53,low-risk,23829.0,736.0,home improvement,59839.13,2,0.35,4,1
54,low-risk,24075.0,702.0,debt consolidation,59307.92,3,0.3,3,1
55,high-risk,13559.0,648.0,business,46480.88,8,0.45,3,1
56,low-risk,21424.0,677.0,medical expenses,51021.35,2,0.35,3,0
57,high-risk,16701.0,651.0,medical expenses,57931.39,5,0.5,3,2
58,low-risk,20872.0,716.0,home improvement,46074.3,8,0.4,3,0
59,low-risk,19393.0,709.0,car,52841.22,10,0.4,3,0
60,low-risk,22665.0,727.0,medical expenses,48883.32,5,0.4,3,1
61,low-risk,33437.0,721.0,car,53981.9,2,0.4,5,0
62,low-risk,15614.0,740.0,business,49779.56,2,0.35,3,0
63,low-risk,17907.0,746.0,debt consolidation,54946.49,5,0.35,2,1
64,low-risk,22238.0,711.0,business,59856.17,5,0.4,2,0
65,low-risk,18648.0,699.0,car,53345.02,5,0.4,4,1
66,low-risk,20421.0,709.0,medical expenses,45605.67,10,0.4,4,1
67,low-risk,18077.0,693.0,home improvement,55836.83,8,0.4,2,0
68,low-risk,23182.0,691.0,business,49261.21,3,0.35,2,1
69,low-risk,17501.0,700.0,home improvement,56232.04,8,0.3,3,1
70,low-risk,18648.0,704.0,home improvement,56425.76,3,0.3,2,0
71,low-risk,20495.0,698.0,car,60480.6,5,0.3,3,0
72,high-risk,17132.0,515.0,home improvement,52238.63,2,0.45,3,1
73,low-risk,22837.0,721.0,car,42831.88,5,0.35,2,0
74,low-risk,22349.0,692.0,medical expenses,62450.03,3,0.3,5,1
75,low-risk,21890.0,668.0,business,54291.15,3,0.3,2,1
76,low-risk,21619.0,699.0,debt consolidation,56158.5,8,0.3,5,1
77,low-risk,22495.0,774.0,business,54640.86,2,0.4,5,0
78,low-risk,20048.0,713.0,car,60935.4,5,0.4,3,1
79,high-risk,12538.0,594.0,home improvement,48394.81,2,0.5,4,2
80,low-risk,18441.0,706.0,home improvement,65842.85,10,0.3,5,1
81,low-risk,16479.0,711.0,debt consolidation,50098.01,8,0.3,4,1
82,low-risk,22544.0,743.0,debt consolidation,54915.16,10,0.4,3,0
83,high-risk,18596.0,647.0,medical expenses,55851.3,3,0.45,3,2
84,low-risk,20002.0,668.0,business,59530.35,3,0.35,3,0
85,low-risk,23824.0,735.0,car,54151.73,5,0.35,4,1
86,low-risk,17536.0,730.0,debt consolidation,58217.16,5,0.4,5,0
87,low-risk,19576.0,684.0,debt consolidation,53160.68,5,0.4,5,1
88,low-risk,20796.0,717.0,medical expenses,48816.54,2,0.4,4,0
89,low-risk,18345.0,664.0,business,58226.41,8,0.3,5,0
90,high-risk,12766.0,562.0,debt consolidation,44055.0,10,0.5,4,2
91,low-risk,20391.0,745.0,debt consolidation,66112.75,5,0.3,4,0
92,low-risk,21845.0,724.0,debt consolidation,57027.88,3,0.35,5,0
93,high-risk,13257.0,649.0,medical expenses,54407.1,3,0.5,3,2
94,high-risk,16715.0,551.0,debt consolidation,55347.11,3,0.5,4,1
95,high-risk,14859.0,622.0,medical expenses,54972.53,8,0.5,3,1
96,low-risk,20508.0,680.0,car,57399.11,2,0.35,4,1
97,low-risk,16876.0,681.0,medical expenses,51800.52,5,0.4,5,1
98,high-risk,18196.0,611.0,medical expenses,50870.92,3,0.5,3,1
99,high-risk,12699.0,497.0,business,55327.21,10,0.45,3,2
100,low-risk,15536.0,724.0,car,51338.83,3,0.3,3,0
101,high-risk,13822.0,569.0,car,44970.16,10,0.45,3,1
102,high-risk,11905.0,507.0,home improvement,47739.62,8,0.45,4,1
103,low-risk,16478.0,670.0,home improvement,63281.22,5,0.4,3,0
104,low-risk,23338.0,704.0,home improvement,49183.72,3,0.3,3,1
105,low-risk,19787.0,679.0,debt consolidation,52925.24,5,0.35,4,0
106,low-risk,20257.0,663.0,medical expenses,59670.18,5,0.4,5,1
107,high-risk,15642.0,560.0,business,49043.43,10,0.45,4,2
108,low-risk,22319.0,684.0,home improvement,56215.12,3,0.35,4,1
109,high-risk,17635.0,484.0,business,52093.14,10,0.5,4,1
110,low-risk,21005.0,683.0,car,51952.05,3,0.4,4,1
111,high-risk,12437.0,509.0,debt consolidation,55185.43,8,0.5,3,2
112,high-risk,14306.0,590.0,home improvement,47857.25,8,0.5,3,1
113,low-risk,21627.0,701.0,medical expenses,52632.98,10,0.35,3,1
114,low-risk,18986.0,685.0,debt consolidation,54734.53,8,0.35,3,0
115,low-risk,20007.0,695.0,car,45665.6,5,0.4,5,0
116,low-risk,19176.0,729.0,business,62822.78,8,0.35,4,1
117,low-risk,18628.0,720.0,debt consolidation,61796.68,8,0.3,5,1
118,low-risk,17933.0,718.0,business,47792.75,8,0.35,5,0
119,low-risk,21403.0,664.0,home improvement,51291.38,5,0.35,5,1
120,low-risk,23932.0,787.0,car,61940.52,3,0.3,5,0
121,low-risk,23513.0,732.0,medical expenses,56528.45,8,0.4,3,1
122,low-risk,16230.0,716.0,debt consolidation,56033.06,8,0.3,4,1
123,low-risk,23868.0,665.0,business,59460.28,2,0.3,3,1
124,low-risk,19046.0,728.0,car,57616.14,2,0.35,2,1
125,high-risk,14443.0,562.0,car,55161.7,3,0.45,3,1
126,low-risk,17281.0,694.0,home improvement,51493.45,8,0.35,5,1
127,low-risk,20426.0,650.0,debt consolidation,54940.67,8,0.35,2,0
128,low-risk,20941.0,663.0,home improvement,62510.47,3,0.3,4,1
129,low-risk,15546.0,713.0,home improvement,62064.2,3,0.4,4,0
130,low-risk,21825.0,730.0,home improvement,53321.77,2,0.4,5,0
131,low-risk,24038.0,721.0,car,46831.23,5,0.35,3,0
132,low-risk,19476.0,720.0,business,53833.62,3,0.35,2,0
133,high-risk,15052.0,639.0,business,41580.13,2,0.5,5,1
134,high-risk,16457.0,606.0,medical expenses,57719.64,10,0.45,2,2
135,high-risk,12385.0,520.0,medical expenses,52386.9,5,0.5,3,1
136,low-risk,13344.0,725.0,business,50084.41,2,0.3,3,0
137,low-risk,27256.0,700.0,home improvement,48991.16,3,0.4,2,1
138,low-risk,24486.0,736.0,car,52186.39,10,0.3,4,1
139,low-risk,19146.0,694.0,home improvement,49147.67,10,0.4,2,1
140,low-risk,14084.0,671.0,home improvement,57632.76,3,0.3,2,0
141,low-risk,20864.0,700.0,home improvement,43664.46,3,0.3,4,0
142,low-risk,15668.0,703.0,debt consolidation,57579.47,10,0.35,4,1
143,high-risk,19039.0,505.0,debt consolidation,58831.65,5,0.45,2,1
144,low-risk,21235.0,738.0,home improvement,58307.64,10,0.4,2,0
145,low-risk,17176.0,724.0,medical expenses,50419.85,3,0.35,2,0
146,low-risk,23363.0,657.0,medical expenses,53874.79,5,0.35,3,1
147,low-risk,22417.0,746.0,business,53634.84,2,0.4,4,0
148,low-risk,22927.0,618.0,car,46840.41,8,0.4,5,0
149,low-risk,20027.0,765.0,debt consolidation,49414.89,8,0.35,4,1
150,high-risk,18423.0,563.0,home improvement,57952.87,8,0.5,3,2
151,high-risk,16355.0,545.0,debt consolidation,49430.89,2,0.45,2,2
152,high-risk,14041.0,571.0,business,62244.03,2,0.5,2,1
153,high-risk,16545.0,660.0,medical expenses,57217.62,10,0.45,3,1
154,low-risk,24056.0,700.0,medical expenses,49667.52,2,0.4,3,0
155,high-risk,16236.0,539.0,car,59742.9,2,0.45,3,1
156,low-risk,19876.0,739.0,car,54617.32,3,0.3,2,0
157,low-ris,26477.0,717.0,business,61164.4,2,0.4,4,0
158,low-risk,20274.0,671.0,car,55505.81,3,0.35,4,1
159,low-risk,18859.0,722.0,business,58630.86,10,0.3,4,0
160,low-risk,18109.0,716.0,debt consolidation,57929.87,8,0.35,3,0
161,low-risk,24911.0,684.0,home improvement,53453.03,5,0.35,5,1
162,high-risk,11347.0,600.0,medical expenses,53620.92,8,0.45,5,1
163,low-risk,22206.0,695.0,home improvement,57129.97,10,0.35,2,0
164,low-risk,18323.0,693.0,debt consolidation,56851.16,5,0.4,4,0
165,low-risk,18619.0,693.0,car,61197.22,8,0.35,4,1
166,low-risk,23091.0,627.0,medical expenses,59000.21,10,0.3,4,0
167,high-risk,14438.0,632.0,car,57233.82,10,0.45,4,1
168,low-risk,18786.0,721.0,home improvement,46974.79,3,0.35,3,0
169,high-risk,11816.0,522.0,car,59416.55,2,0.5,2,2
170,high-risk,15347.0,581.0,business,55840.42,3,0.5,3,2
171,low-risk,21934.0,729.0,home improvement,52661.49,3,0.4,3,0
172,low-risk,18036.0,691.0,car,54581.03,8,0.3,2,1
173,high-risk,19470.0,615.0,home improvement,42173.69,10,0.5,4,2
174,high-risk,14554.0,546.0,car,62493.1,2,0.5,4,1
175,high-risk,15390.0,561.0,car,56793.66,10,0.45,3,1
176,high-risk,21054.0,581.0,home improvement,63954.41,5,0.45,5,2
177,low-risk,22169.0,677.0,debt consolidation,67669.24,8,0.3,3,1
178,low-risk,20257.0,704.0,home improvement,41654.0,3,0.3,5,1
179,low-risk,14853.0,673.0,medical expenses,51542.84,2,0.35,2,0
180,high-risk,17563.0,590.0,medical expenses,53713.66,2,0.45,2,1
181,low-risk,18488.0,716.0,debt consolidation,55332.7,2,0.35,2,0
182,low-risk,19781.0,712.0,car,50287.09,5,0.35,3,0
183,low-risk,25668.0,734.0,home improvement,60676.18,3,0.4,2,1
184,low-risk,20715.0,699.0,car,61914.32,2,0.35,3,1
185,low-risk,17478.0,767.0,car,47290.22,10,0.35,3,0
186,high-risk,18316.0,517.0,medical expenses,58823.42,2,0.5,5,2
187,low-risk,18944.0,717.0,home improvement,48916.72,2,0.3,2,0
188,high-risk,12851.0,616.0,business,56748.11,2,0.5,5,2
189,low-risk,21742.0,682.0,medical expenses,50645.79,5,0.4,3,1
190,low-risk,23628.0,716.0,car,59914.04,3,0.4,4,0
191,high-risk,18073.0,637.0,car,60349.88,10,0.5,2,1
192,high-risk,13711.0,542.0,business,55475.54,8,0.5,3,1
193,low-risk,22724.0,676.0,car,62724.51,2,0.35,3,1
194,high-risk,11074.0,552.0,debt consolidation,53120.32,3,0.45,4,1
195,low-risk,26630.0,704.0,business,57573.27,5,0.4,5,1
196,low-risk,20981.0,665.0,car,57360.94,10,0.35,5,1
197,low-risk,17495.0,719.0,medical expenses,54396.67,3,0.35,5,1
198,low-risk,24959.0,649.0,medical expenses,58412.39,2,0.3,2,1
199,low-risk,26233.0,706.0,debt consolidation,59063.78,3,0.3,5,1
200,low-risk,19901.0,753.0,business,51944.15,5,0.35,3,1
201,low-risk,18489.0,720.0,business,56657.02,8,0.3,3,0
202,low-risk,19483.0,720.0,car,54630.76,5,0.35,3,0
203,low-risk,22144.0,673.0,car,55801.84,8,0.3,5,0
204,high-risk,17249.0,507.0,home improvement,62863.88,2,0.5,2,1
205,low-risk,21711.0,741.0,debt consolidation,49840.58,10,0.35,3,1
206,low-risk,20305.0,675.0,business,61146.15,5,0.4,3,1
207,high-risk,12053.0,530.0,car,52845.85,10,0.45,3,1
208,low-risk,19061.0,738.0,business,52888.47,5,0.3,2,0
209,low-risk,23093.0,754.0,debt consolidation,52964.2,10,0.3,3,0
210,low-risk,19136.0,662.0,medical expenses,54562.28,8,0.35,4,1
211,low-risk,21293.0,670.0,debt consolidation,55406.55,3,0.3,4,1
212,high-risk,19961.0,604.0,business,51532.3,3,0.5,4,2
213,high-risk,13396.0,558.0,car,43766.87,8,0.45,3,2
214,low-risk,18868.0,701.0,business,57148.39,8,0.3,2,0
215,high-risk,13766.0,586.0,home improvement,53519.01,2,0.45,5,2
216,high-risk,12985.0,609.0,debt consolidation,49526.3,5,0.5,2,1
217,low-risk,17779.0,704.0,home improvement,54073.03,10,0.4,3,1
218,high-risk,14956.0,643.0,business,54451.99,8,0.5,3,2
219,low-risk,22934.0,749.0,business,66297.49,10,0.3,2,0
220,high-risk,14897.0,622.0,home improvement,57946.41,5,0.5,3,1
221,high-risk,21347.0,616.0,car,59936.28,10,0.5,4,2
222,low-risk,14564.0,682.0,car,55903.79,3,0.35,4,1
223,low-risk,17148.0,723.0,debt consolidation,55764.98,2,0.4,5,0
224,low-risk,10584.0,708.0,home improvement,56630.97,5,0.3,3,0
225,low-risk,19589.0,696.0,debt consolidation,48766.39,5,0.3,5,1
226,high-risk,15877.0,548.0,debt consolidation,52603.87,2,0.45,2,2
227,high-risk,13913.0,670.0,medical expenses,51818.11,5,0.5,5,2
228,low-risk,15125.0,687.0,debt consolidation,51715.7,2,0.35,3,0
229,low-risk,20249.0,679.0,debt consolidation,48905.9,8,0.3,5,0
230,low-risk,18755.0,744.0,medical expenses,51684.75,8,0.4,4,0
231,low-risk,24506.0,716.0,debt consolidation,60225.59,10,0.35,3,0
232,low-risk,24234.0,719.0,debt consolidation,46764.77,3,0.35,4,0
233,low-risk,22356.0,688.0,debt consolidation,57958.99,3,0.4,2,0
234,high-risk,17888.0,631.0,home improvement,66022.2,5,0.5,5,1
235,low-risk,25956.0,693.0,medical expenses,65810.02,5,0.4,5,0
236,low-risk,15341.0,710.0,car,54710.86,10,0.4,5,1
237,high-risk,16738.0,591.0,debt consolidation,55974.44,3,0.5,3,1
238,low-risk,19749.0,699.0,home improvement,62963.47,8,0.35,3,1
239,high-risk,13686.0,559.0,home improvement,50799.54,8,0.45,3,1
240,high-risk,17162.0,589.0,home improvement,62871.61,2,0.45,4,2
241,low-risk,19450.0,701.0,medical expenses,54801.07,8,0.35,2,1
242,low-risk,15674.0,657.0,medical expenses,63462.64,3,0.4,3,1
243,low-risk,22838.0,636.0,business,51029.34,2,0.4,4,1
244,low-risk,22860.0,709.0,debt consolidation,58280.32,5,0.35,5,0
245,low-risk,22367.0,675.0,car,61203.89,10,0.4,5,1
246,low-risk,18112.0,713.0,car,55391.34,3,0.35,4,0
247,low-risk,17880.0,677.0,business,47822.8,8,0.4,5,1
248,low-risk,16121.0,704.0,car,59792.15,2,0.4,3,1
249,low-risk,20252.0,689.0,debt consolidation,58412.72,8,0.35,2,1
250,high-risk,15537.0,528.0,car,51328.54,5,0.45,3,2
251,low-risk,16468.0,729.0,debt consolidation,56658.83,8,0.4,5,0
252,low-risk,18729.0,740.0,medical expenses,55063.42,8,0.35,2,1
253,low-risk,18533.0,701.0,medical expenses,50977.08,10,0.3,5,0
254,high-risk,16373.0,568.0,debt consolidation,50137.48,8,0.5,2,1
255,low-risk,21399.0,703.0,debt consolidation,47050.79,10,0.3,3,0
256,low-risk,20237.0,744.0,medical expenses,59017.17,2,0.4,5,0
257,high-risk,11214.0,489.0,debt consolidation,52145.14,5,0.5,3,2
258,low-risk,20549.0,658.0,business,57797.3,10,0.35,3,0
259,high-risk,15408.0,554.0,medical expenses,60055.75,8,0.45,3,2
260,low-risk,20316.0,750.0,car,50841.61,2,0.3,3,0
261,low-risk,20452.0,714.0,medical expenses,54545.43,10,0.35,5,0
262,low-risk,15491.0,716.0,car,49001.69,10,0.3,4,1
263,low-risk,22987.0,745.0,car,59276.1,2,0.35,3,1
264,low-risk,17356.0,650.0,business,47564.7,5,0.4,3,0
265,high-risk,17351.0,610.0,medical expenses,56327.53,2,0.45,3,1
266,low-risk,23493.0,693.0,medical expenses,53316.39,5,0.3,5,1
267,low-risk,22777.0,722.0,business,59216.58,5,0.4,3,1
268,low-risk,20103.0,679.0,medical expenses,54656.24,8,0.4,3,1
269,low-risk,18913.0,664.0,car,64916.25,10,0.35,3,0
270,low-risk,22843.0,664.0,debt consolidation,54489.39,2,0.4,5,0
271,low-risk,22024.0,734.0,business,55777.53,5,0.3,5,0
272,low-risk,18145.0,678.0,business,59169.83,2,0.4,4,1
273,low-risk,17615.0,683.0,debt consolidation,57461.48,10,0.35,3,0
274,low-risk,13783.0,719.0,car,51063.53,2,0.35,4,1
275,low-risk,20462.0,679.0,debt consolidation,56531.62,3,0.4,3,1
276,low-risk,19752.0,649.0,medical expenses,52195.15,2,0.3,3,1
277,low-risk,23409.0,653.0,debt consolidation,63936.15,5,0.4,3,1
278,high-risk,10956.0,609.0,business,44248.27,8,0.45,3,1
279,low-risk,24003.0,715.0,home improvement,61275.68,3,0.35,4,1
280,low-risk,17908.0,694.0,medical expenses,54701.38,8,0.4,5,1
281,low-risk,23414.0,713.0,debt consolidation,48543.08,8,0.3,4,0
282,high-risk,13677.0,624.0,debt consolidation,48388.1,10,0.45,3,2
283,high-risk,15767.0,674.0,car,55686.82,8,0.45,2,2
284,low-risk,15624.0,768.0,medical expenses,49077.92,8,0.3,5,1
285,low-risk,20705.0,737.0,car,57369.2,2,0.3,2,1
286,high-risk,17031.0,585.0,business,53028.51,3,0.45,5,2
287,low-risk,19199.0,680.0,business,56701.15,3,0.3,3,1
288,low-risk,21321.0,693.0,car,47568.94,2,0.3,2,1
289,low-risk,18437.0,700.0,medical expenses,42844.3,5,0.4,2,0
290,low-risk,16849.0,739.0,car,48167.95,3,0.4,3,1
291,high-risk,12973.0,591.0,car,63398.3,3,0.5,2,1
292,high-risk,13540.0,625.0,medical expenses,60974.85,3,0.45,3,1
293,low-risk,18531.0,695.0,business,58516.13,10,0.35,3,0
294,low-risk,20126.0,724.0,home improvement,59329.44,3,0.3,2,0
295,low-risk,27910.0,709.0,car,57174.47,5,0.3,3,1
296,high-risk,16718.0,582.0,car,66341.35,3,0.5,2,1
297,high-ris,11607.0,549.0,debt consolidation,53268.0,5,0.5,3,1
298,high-risk,13199.0,578.0,medical expenses,58536.47,3,0.45,2,1
299,high-risk,16118.0,566.0,debt consolidation,53093.49,5,0.5,2,2
300,low-risk,12812.0,699.0,business,57291.12,2,0.3,4,0
301,low-risk,17963.0,703.0,debt consolidation,62134.98,3,0.35,4,0
302,low-ris,18558.0,628.0,medical expenses,52104.78,5,0.35,3,1
303,high-risk,13160.0,553.0,car,45960.1,10,0.5,2,2
304,low-risk,16528.0,665.0,car,52393.75,10,0.3,2,1
305,low-risk,14057.0,715.0,home improvement,46606.04,2,0.3,2,0
306,low-risk,19885.0,719.0,business,55963.51,8,0.3,2,1
307,low-risk,22456.0,687.0,car,54325.58,10,0.4,4,1
308,low-risk,23320.0,716.0,debt consolidation,47206.63,3,0.35,2,1
309,low-risk,21244.0,718.0,home improvement,41120.39,2,0.35,3,0
310,low-risk,17110.0,693.0,home improvement,55110.32,5,0.35,2,1
311,low-risk,14204.0,746.0,business,71902.72,5,0.4,4,0
312,low-risk,14729.0,678.0,home improvement,53724.63,5,0.4,3,0
313,low-risk,16193.0,744.0,medical expenses,52010.05,5,0.35,4,0
314,high-risk,17452.0,579.0,debt consolidation,47814.75,3,0.45,3,2
315,low-risk,19521.0,675.0,home improvement,58575.66,10,0.4,3,1
316,low-risk,16958.0,689.0,car,50390.64,5,0.35,2,1
317,high-risk,16330.0,624.0,debt consolidation,48734.9,3,0.5,5,2
318,low-ris,19303.0,724.0,business,61053.7,2,0.35,4,0
319,high-risk,5968.0,639.0,home improvement,51811.37,3,0.5,3,1
320,low-risk,23421.0,742.0,debt consolidation,55649.51,2,0.4,3,1
321,low-risk,16459.0,672.0,car,58236.93,10,0.3,4,1
322,low-risk,21256.0,725.0,home improvement,47242.38,5,0.3,4,0
323,low-risk,19958.0,701.0,business,50918.38,8,0.3,3,1
324,low-risk,19000.0,708.0,business,64414.74,2,0.3,4,0
325,low-risk,22656.0,682.0,business,51194.61,8,0.4,5,1
326,high-risk,13886.0,549.0,home improvement,52111.98,3,0.5,5,2
327,low-risk,17161.0,704.0,home improvement,53028.65,3,0.35,5,1
328,high-risk,15434.0,617.0,home improvement,60519.97,8,0.45,3,1
329,low-risk,20844.0,671.0,car,63417.52,10,0.35,3,0
330,high-risk,13839.0,560.0,business,56162.9,5,0.5,3,2
331,low-risk,21755.0,677.0,debt consolidation,55290.09,3,0.35,3,1
332,low-risk,20844.0,738.0,debt consolidation,52904.5,8,0.35,2,0
333,low-risk,25498.0,700.0,home improvement,59221.48,8,0.4,3,0
334,low-risk,15409.0,677.0,business,52669.72,2,0.35,2,1
335,high-risk,10619.0,578.0,business,54258.9,8,0.45,2,2
336,low-risk,17274.0,685.0,home improvement,63796.67,8,0.35,2,1
337,low-risk,21812.0,691.0,car,55876.63,2,0.4,5,0
338,low-risk,15148.0,668.0,debt consolidation,57773.6,2,0.35,3,1
339,low-risk,21039.0,676.0,debt consolidation,52824.78,3,0.3,4,1
340,high-risk,19231.0,549.0,medical expenses,53184.65,10,0.5,4,2
341,high-risk,13399.0,622.0,home improvement,46712.52,3,0.45,-7.0,1
342,high-risk,20352.0,642.0,debt consolidation,59937.95,10,0.5,3,1
343,low-risk,18605.0,700.0,debt consolidation,53167.08,5,0.3,3,0
344,low-risk,23254.0,699.0,car,53832.47,2,0.3,3,1
345,high-risk,15434.0,592.0,home improvement,61428.59,3,0.45,4,1
346,low-risk,21883.0,716.0,home improvement,60996.0,2,0.4,2,0
347,high-risk,19200.0,624.0,debt consolidation,52005.65,2,0.5,3,1
348,high-risk,18833.0,554.0,debt consolidation,53037.28,10,0.5,3,2
349,high-risk,16532.0,597.0,business,45242.57,8,0.45,3,1
350,low-risk,21402.0,655.0,medical expenses,57751.17,8,0.3,4,0
351,low-risk,18367.0,719.0,debt consolidation,57873.76,2,0.3,2,1
352,high-risk,12551.0,640.0,home improvement,51530.24,3,0.5,2,2
353,low-risk,15440.0,682.0,business,56744.25,3,0.35,3,1
354,low-risk,22779.0,696.0,car,59040.09,10,0.4,3,1
355,low-risk,18842.0,637.0,home improvement,50122.23,5,0.3,5,0
356,high-risk,15151.0,602.0,business,53994.76,3,0.5,4,1
357,low-risk,16892.0,721.0,home improvement,56088.89,5,0.4,3,0
358,low-risk,21308.0,735.0,home improvement,57584.6,2,0.4,4,0
359,low-risk,17714.0,745.0,home improvement,57907.83,10,0.35,5,0
360,low-risk,19575.0,663.0,debt consolidation,53480.36,10,0.4,3,1
361,high-risk,13293.0,635.0,debt consolidation,51207.27,2,0.45,5,2
362,low-risk,22372.0,744.0,medical expenses,46642.62,2,0.3,4,0
363,low-risk,19934.0,655.0,car,53551.62,5,0.4,3,1
364,high-risk,11456.0,612.0,car,58119.08,3,0.45,5,1
365,high-risk,17450.0,635.0,debt consolidation,64259.7,3,0.5,2,2
366,low-risk,25238.0,726.0,home improvement,59543.61,8,0.3,4,0
367,high-risk,16383.0,595.0,home improvement,55694.5,5,0.5,3,2
368,low-risk,17740.0,754.0,business,54985.65,10,0.4,3,1
369,low-risk,19659.0,697.0,business,52129.03,5,0.3,3,1
370,high-risk,16435.0,586.0,business,48862.85,5,0.5,4,1
371,high-risk,16617.0,674.0,car,59470.63,2,0.45,2,2
372,high-risk,12418.0,608.0,car,61106.3,2,0.5,3,1
373,high-risk,19063.0,574.0,business,49108.5,2,0.45,3,1
374,low-risk,18588.0,688.0,business,61278.09,2,0.3,4,1
375,low-risk,23364.0,725.0,business,56306.12,2,0.4,4,1
376,high-risk,21335.0,590.0,car,59163.46,5,0.45,2,1
377,low-risk,24585.0,651.0,debt consolidation,64016.2,2,0.35,3,1
378,high-risk,17776.0,612.0,home improvement,48743.09,3,0.45,2,2
379,high-risk,19065.0,616.0,debt consolidation,49959.46,3,0.5,4,1
380,high-risk,13049.0,633.0,car,53977.86,8,0.45,2,2
381,low-risk,20891.0,654.0,car,50765.77,3,0.4,4,0
382,low-risk,19995.0,719.0,business,51584.26,8,0.4,3,1
383,low-risk,20420.0,733.0,debt consolidation,59583.49,3,0.35,2,0
384,low-risk,20162.0,764.0,car,56050.06,10,0.3,3,0
385,low-risk,16021.0,656.0,medical expenses,56328.01,8,0.4,3,1
386,low-risk,21672.0,723.0,debt consolidation,55583.35,5,0.35,3,0
387,low-risk,21897.0,725.0,debt consolidation,52185.29,2,0.4,3,1
388,low-risk,22047.0,683.0,car,56274.95,8,0.35,3,1
389,low-risk,22840.0,672.0,home improvement,54436.55,3,0.3,3,1
390,low-risk,21812.0,667.0,car,59711.69,5,0.3,2,0
